nickname,rank,net_value,profit_rate,max_drawdown_rank,company,days,eq_start,eq_end,eq_change_pct,daily_avg_pnl,daily_max_profit,daily_max_loss,daily_std,win_days,loss_days,flat_days,day_win_rate,total_pnl,avg_margin,avg_risk,max_risk,min_risk,max_dd_pct,total_volume,avg_daily_volume,total_fee,fee_pnl_ratio,avg_float_pnl,max_float_pnl,min_float_pnl,strategy_type
游离子,2,70.5672,6956.72,38.92,徽商期货,20,218211.87,195171.87,-10.558545692312705,-2073.5,39925.0,-33415.0,15308.462838367679,6,8,6,42.857142857142854,-41470.0,158500.09999999998,77.48166666666665,110.53,7.07,37.25524573455816,245000.0,12250.0,2455.7200000000007,0.05921678321678323,-921.0,46450.0,-39240.0,活跃短线
麦田投资,3,70.5085,6950.85,88.53,徽商期货,20,2732375.87,952686.92,-65.13338701091662,41535.5,754440.0,-140640.0,188312.16761215797,5,7,8,41.66666666666667,830710.0,1111006.0357142857,94.13571428571429,132.85,56.58,99.97883709901157,7963905.0,398195.25,30476.45,0.03668723140446124,-2721.0,46230.0,-100650.0,活跃短线
spritetu,4,53.8341,5283.41,30.36,长江期货,20,1428740.1,3235429.19,126.4533059581655,8270.0,74300.0,-520.0,18318.56033184865,7,1,12,87.5,165400.0,1819478.1649999998,78.21799999999999,100.02,58.03,25.884163876684717,1903400.0,95170.0,1336.31,0.008079262394195888,878536.75,1742980.0,22720.0,活跃短线
lyg5200,7,34.8963,3389.63,59.91,徽商期货,20,18952573.25,21640833.83,14.184145575060622,107430.25,1350570.0,-451210.0,424332.2077021202,10,10,0,50.0,2148605.0,5324701.899999999,26.186,39.97,15.39,6.035982989511791,409400.0,20470.0,60468.49,0.02814313938578752,137497.75,1182760.0,-1046285.0,活跃短线
六六,9,27.4276,2642.76,50.87,华安期货,20,2366.56,343101.43,14397.896947468056,0.0,0.0,0.0,0.0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5066460.0,253323.0,95.13,0.0,0.0,0.0,0.0,活跃短线
富景泽臻日内趋势,12,15.7944,1479.44,99.88,西南期货,20,463955.09,916663.62,97.57593779173754,829.5,23910.0,-13700.0,6433.142372858982,2,1,17,66.66666666666666,16590.0,648263.3425,90.95249999999999,199.39,56.35,32.14100094882962,22023412.5,1101170.625,1161.77,0.07002833031946956,45411.75,229240.0,-74940.0,活跃短线
chillysnow,19,10.7224,972.24,68.05,中原期货,20,83.15,573.29,589.4648226097414,-397.75,475.0,-7650.0,1715.447214208832,1,3,16,25.0,-7955.0,0.0,0.0,0.0,0.0,99.03511287676359,6826283.5,341314.175,566.3299999999999,0.07119170333123821,0.0,0.0,0.0,活跃短线
猎豹,31,7.643,664.3,45.97,中州期货,20,872.25,9.2,-98.94525652049298,0.0,0.0,0.0,0.0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,98.94525652049298,18872.5,943.625,43.05,0.0,0.0,0.0,0.0,活跃短线
乐富投资,37,6.6152,561.52,76.54,弘业期货,20,9821738.42,11710399.83,19.229400430316083,0.0,0.0,0.0,0.0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.9527920355818872,2486207.5,124310.375,3425.36,0.0,0.0,0.0,0.0,活跃短线
天成,39,6.2445,524.45,99.5,东航期货,20,33054.04,500.88,-98.48466329683149,0.0,0.0,0.0,0.0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,99.85911787334818,4577316.5,228865.825,142.67,0.0,0.0,0.0,0.0,活跃短线
胖焦股指,43,5.7347,473.47,32.79,徽商期货,20,1714597.2,1508799.81,-12.002666865430546,1261.75,63640.0,-52920.0,23166.258316955173,3,3,14,50.0,25235.0,1285159.9099999997,85.87650000000001,100.18,68.57,33.5329816144191,457040.0,22852.0,2454.9599999999996,0.09728393104814739,59582.5,293950.0,-274640.0,活跃短线
